Order_ID,Order_Date,Ship_Date,Region,City,Category,Sub_Category,Customer_Segment,Payment_Mode,Sales,Quantity,Discount,Profit
ORD-10017,2025-02-20,2025-02-22,West,Kolkata,Electronics,Headphones,Corporate,Net Banking,20046.64,8,0.0,4271.78
ORD-10018,2025-09-07,2025-09-13,North,Delhi,Office Supplies,Desk Organizer,Corporate,Net Banking,35489.44,3,0.24,-2441.96
ORD-10019,2024-01-16,2024-01-23,East,Chennai,Office Supplies,Notebook,Consumer,UPI,46351.89,9,0.27,-2317.24
ORD-10020,2024-01-20,2024-01-24,West,Mumbai,Office Supplies,Pen Set,Corporate,Credit Card,22747.81,1,0.02,2097.27
ORD-10021,2023-08-13,2023-08-20,East,Kolkata,Electronics,Tablet,Corporate,Debit Card,16596.57,3,0.18,-1245.67
ORD-10022,2024-07-10,2024-07-11,North,Hyderabad,Furniture,Chair,Home Office,Credit Card,28281.55,3,0.04,4317.15
ORD-10023,2023-09-10,2023-09-11,East,Pune,Electronics,Headphones,Consumer,Debit Card,38158.86,7,0.23,-3100.06
ORD-10024,2025-03-07,2025-03-13,North,Delhi,Furniture,Table,Home Office,UPI,26375.28,3,0.01,4412.11
ORD-10025,2023-01-05,2023-01-12,East,Mumbai,Office Supplies,Printer,Consumer,Credit Card,16060.62,4,0.27,-2732.58
ORD-10026,2025-03-02,2025-03-07,East,Ahmedabad,Electronics,Headphones,Corporate,Net Banking,20813.95,4,0.28,-2294.26
ORD-10027,2025-11-20,2025-11-23,West,Bangalore,Electronics,Smartphone,Consumer,Net Banking,34891.85,2,0.19,-2821.82
ORD-10028,2023-10-01,2023-10-05,North,Chennai,Electronics,Smartphone,Consumer,Credit Card,5721.97,4,0.27,-641.61
ORD-10029,2025-04-03,2025-04-05,East,Pune,Electronics,Tablet,Corporate,Net Banking,40468.29,9,0.1,-1132.69
ORD-10030,2023-09-25,2023-09-30,South,Hyderabad,Office Supplies,Notebook,Corporate,UPI,11782.79,9,0.25,-328.2
ORD-10031,2024-02-12,2024-02-16,East,Pune,Electronics,Laptop,Consumer,UPI,844.13,8,0.16,-11.0
ORD-10032,2024-04-01,2024-04-08,South,Mumbai,Furniture,Wardrobe,Consumer,Net Banking,34775.58,8,0.28,-5750.47
ORD-10033,2023-03-11,2023-03-13,West,Kolkata,Furniture,Wardrobe,Home Office,UPI,26180.14,9,0.12,-1492.83
ORD-10034,2024-01-01,2024-01-03,South,Hyderabad,Electronics,Laptop,Corporate,Credit Card,13068.81,7,0.15,-520.46
ORD-10035,2025-09-07,2025-09-08,West,Pune,Office Supplies,Printer,Consumer,Credit Card,14599.6,1,0.08,2413.65
ORD-10036,2024-09-01,2024-09-08,West,Delhi,Furniture,Wardrobe,Consumer,Credit Card,20846.33,7,0.08,3161.41
ORD-10037,2023-12-19,2023-12-24,West,Mumbai,Electronics,Headphones,Corporate,Net Banking,12358.31,2,0.16,-252.65
ORD-10038,2023-03-27,2023-03-30,West,Bangalore,Electronics,Smartphone,Corporate,Credit Card,27868.21,7,0.2,64.76
ORD-10039,2024-10-18,2024-10-22,East,Hyderabad,Electronics,Smartphone,Home Office,UPI,12263.06,6,0.11,815.02
ORD-10040,2024-10-09,2024-10-14,North,Bangalore,Office Supplies,Pen Set,Consumer,UPI,31859.72,1,0.05,3238.21
ORD-10041,2023-05-24,2023-05-29,East,Bangalore,Electronics,Laptop,Consumer,Net Banking,34942.73,3,0.18,192.63
ORD-10042,2024-10-17,2024-10-20,North,Bangalore,Electronics,Headphones,Home Office,Debit Card,1321.1,3,0.24,-158.88
ORD-10043,2024-03-30,2024-04-03,North,Chennai,Furniture,Wardrobe,Corporate,Debit Card,5260.74,9,0.21,-434.82
ORD-10044,2025-06-12,2025-06-16,North,Delhi,Electronics,Smartphone,Home Office,UPI,46868.13,1,0.2,-138.58
ORD-10045,2025-02-02,2025-02-05,East,Chennai,Furniture,Wardrobe,Home Office,Credit Card,10849.05,3,0.07,162.64
ORD-10046,2025-02-25,2025-03-03,South,Chennai,Furniture,Table,Consumer,Debit Card,49117.33,4,0.16,-3027.08
ORD-10047,2025-01-26,2025-01-29,South,Hyderabad,Electronics,Laptop,Consumer,Credit Card,5108.59,5,0.27,-477.04
ORD-10048,2025-06-15,2025-06-21,West,Bangalore,Office Supplies,Notebook,Home Office,Debit Card,17281.97,3,0.21,161.28
ORD-10049,2025-03-13,2025-03-16,South,Kolkata,Electronics,Smartphone,Corporate,Debit Card,42888.05,6,0.23,-2212.75
ORD-10050,2025-07-21,2025-07-28,South,Kolkata,Electronics,Tablet,Corporate,Debit Card,4664.93,8,0.24,-262.18
ORD-10051,2025-03-16,2025-03-19,East,Bangalore,Office Supplies,Notebook,Corporate,Net Banking,29243.99,9,0.2,-4356.99
ORD-10052,2023-01-20,2023-01-24,South,Ahmedabad,Furniture,Chair,Home Office,Net Banking,8460.0,2,0.15,-87.27
ORD-10053,2025-07-06,2025-07-09,East,Mumbai,Furniture,Sofa,Corporate,Net Banking,49725.64,4,0.21,-5596.63
ORD-10054,2025-07-06,2025-07-09,East,Pune,Furniture,Sofa,Consumer,Debit Card,16607.29,4,0.11,1475.29
ORD-10055,2024-09-10,2024-09-14,South,Delhi,Furniture,Wardrobe,Corporate,Credit Card,36186.53,1,0.16,-298.08
ORD-10056,2024-04-19,2024-04-21,West,Hyderabad,Office Supplies,Desk Organizer,Corporate,Net Banking,31998.46,6,0.07,5587.0
ORD-10057,2023-06-26,2023-06-30,South,Bangalore,Office Supplies,Printer,Home Office,UPI,19958.34,6,0.27,-2656.88
ORD-10058,2023-12-10,2023-12-16,West,Hyderabad,Electronics,Laptop,Corporate,Credit Card,17828.88,1,0.17,-383.26
ORD-10059,2024-02-21,2024-02-26,South,Pune,Electronics,Tablet,Corporate,Net Banking,10164.53,3,0.17,342.65
ORD-10060,2024-01-23,2024-01-24,North,Chennai,Furniture,Chair,Home Office,Debit Card,2658.39,5,0.27,-187.3
ORD-10061,2023-11-09,2023-11-12,East,Ahmedabad,Electronics,Laptop,Consumer,Credit Card,47677.06,1,0.17,-264.2
ORD-10062,2024-10-07,2024-10-13,South,Delhi,Office Supplies,Pen Set,Home Office,Debit Card,49026.41,4,0.09,1814.94
ORD-10063,2023-12-29,2024-01-04,East,Pune,Office Supplies,Notebook,Corporate,Debit Card,42631.27,3,0.05,4747.43
ORD-10064,2024-02-06,2024-02-12,West,Kolkata,Office Supplies,Desk Organizer,Corporate,Credit Card,46839.66,3,0.17,-4710.42
ORD-10065,2023-04-03,2023-04-06,North,Kolkata,Electronics,Headphones,Consumer,Debit Card,30942.86,6,0.11,-283.66
ORD-10066,2025-09-05,2025-09-10,East,Ahmedabad,Furniture,Chair,Corporate,Net Banking,15116.88,1,0.25,-2610.32
ORD-10067,2023-08-26,2023-08-31,North,Chennai,Office Supplies,Desk Organizer,Home Office,Debit Card,35591.09,7,0.09,4337.57
ORD-10068,2025-08-25,2025-08-28,North,Pune,Electronics,Laptop,Corporate,Credit Card,40600.61,9,0.18,-4615.52
ORD-10069,2024-12-24,2024-12-26,South,Pune,Furniture,Sofa,Home Office,UPI,756.65,4,0.24,-45.4
ORD-10070,2024-03-22,2024-03-25,West,Chennai,Electronics,Tablet,Consumer,UPI,35247.36,3,0.1,885.29
ORD-10071,2023-01-25,2023-01-26,North,Mumbai,Electronics,Headphones,Corporate,UPI,5152.11,7,0.2,-434.68
ORD-10072,2023-11-11,2023-11-13,West,Pune,Office Supplies,Notebook,Consumer,Credit Card,8174.56,6,0.18,-1012.83
ORD-10073,2025-07-05,2025-07-10,East,Mumbai,Office Supplies,Desk Organizer,Home Office,UPI,2348.74,6,0.09,158.34
ORD-10074,2025-01-17,2025-01-24,North,Hyderabad,Office Supplies,Pen Set,Consumer,UPI,16669.24,8,0.23,-2280.95
ORD-10075,2025-06-26,2025-06-28,East,Kolkata,Furniture,Chair,Corporate,Debit Card,31333.08,4,0.25,-5048.51
ORD-10076,2024-09-26,2024-10-02,South,Mumbai,Electronics,Smartphone,Home Office,Debit Card,20862.02,3,0.19,108.86
ORD-10077,2023-04-27,2023-04-30,East,Chennai,Furniture,Chair,Consumer,UPI,48804.68,3,0.24,-6629.31
ORD-10078,2024-07-10,2024-07-16,North,Mumbai,Furniture,Wardrobe,Home Office,Net Banking,22229.09,7,0.08,152.64
ORD-10079,2024-10-16,2024-10-19,West,Bangalore,Electronics,Tablet,Corporate,Credit Card,4503.21,9,0.21,-668.1
ORD-10080,2023-09-03,2023-09-08,East,Pune,Furniture,Table,Corporate,Debit Card,45803.08,2,0.07,-56.12
ORD-10081,2024-08-04,2024-08-07,North,Mumbai,Office Supplies,Desk Organizer,Home Office,Net Banking,9551.87,5,0.19,-350.18
ORD-10082,2024-05-03,2024-05-07,East,Hyderabad,Furniture,Wardrobe,Home Office,Debit Card,33027.01,5,0.18,-1521.88
ORD-10083,2025-10-06,2025-10-13,North,Bangalore,Office Supplies,Pen Set,Home Office,Debit Card,12762.68,3,0.23,-2260.54
ORD-10084,2023-03-18,2023-03-24,South,Hyderabad,Office Supplies,Desk Organizer,Consumer,Debit Card,6245.6,5,0.03,513.9
ORD-10085,2024-11-10,2024-11-17,South,Kolkata,Electronics,Smartphone,Consumer,Credit Card,48985.77,5,0.14,-3450.22
ORD-10086,2025-11-11,2025-11-16,South,Hyderabad,Office Supplies,Desk Organizer,Corporate,Credit Card,24834.99,7,0.1,1066.28
ORD-10087,2025-01-09,2025-01-10,North,Ahmedabad,Electronics,Smartphone,Consumer,Credit Card,32663.8,6,0.19,-4276.97
ORD-10088,2025-07-11,2025-07-18,East,Mumbai,Office Supplies,Printer,Corporate,Debit Card,19043.32,3,0.15,1357.75
ORD-10089,2025-09-07,2025-09-14,North,Mumbai,Furniture,Sofa,Home Office,UPI,33105.33,4,0.18,1945.88
ORD-10090,2024-04-12,2024-04-15,East,Delhi,Office Supplies,Notebook,Home Office,UPI,47240.45,4,0.17,-2001.39
ORD-10091,2025-03-21,2025-03-26,West,Delhi,Furniture,Chair,Home Office,Credit Card,32342.77,1,0.24,-836.78
ORD-10092,2025-10-29,2025-11-03,West,Bangalore,Electronics,Headphones,Home Office,Net Banking,31484.01,1,0.29,-1855.35
ORD-10093,2025-03-31,2025-04-02,North,Mumbai,Electronics,Headphones,Consumer,Credit Card,10191.66,2,0.01,1667.87
ORD-10094,2025-08-15,2025-08-18,South,Mumbai,Electronics,Smartphone,Home Office,Net Banking,17159.43,8,0.12,1138.06
ORD-10095,2024-01-22,2024-01-27,East,Kolkata,Furniture,Sofa,Corporate,Debit Card,17360.92,3,0.08,-110.54
ORD-10096,2025-12-21,2025-12-28,East,Bangalore,Office Supplies,Desk Organizer,Consumer,UPI,34988.49,8,0.22,-325.53
ORD-10097,2023-10-03,2023-10-10,South,Hyderabad,Electronics,Headphones,Corporate,Debit Card,14460.71,5,0.23,-269.45
ORD-10098,2025-10-19,2025-10-22,North,Bangalore,Electronics,Tablet,Consumer,UPI,49530.0,4,0.11,4719.35
ORD-10099,2025-06-29,2025-07-02,South,Pune,Office Supplies,Printer,Consumer,Credit Card,17369.78,5,0.07,2014.36
ORD-10100,2025-07-22,2025-07-24,North,Chennai,Furniture,Table,Home Office,Credit Card,37125.48,3,0.03,7444.05
ORD-10101,2025-07-21,2025-07-24,West,Mumbai,Furniture,Sofa,Corporate,UPI,25509.99,9,0.1,3293.46
ORD-10102,2024-06-28,2024-07-05,West,Hyderabad,Electronics,Smartphone,Corporate,Net Banking,19765.48,9,0.25,-2550.12
ORD-10103,2023-06-09,2023-06-15,North,Mumbai,Office Supplies,Pen Set,Corporate,Debit Card,47861.64,4,0.17,304.76
ORD-10104,2024-07-09,2024-07-16,East,Mumbai,Electronics,Headphones,Home Office,Net Banking,22698.05,3,0.18,-437.15
ORD-10105,2023-06-21,2023-06-23,South,Kolkata,Office Supplies,Notebook,Home Office,Net Banking,11030.03,5,0.24,-353.8
ORD-10106,2023-01-16,2023-01-17,North,Hyderabad,Furniture,Sofa,Corporate,Credit Card,5014.7,7,0.3,-1197.64
ORD-10107,2023-12-31,2024-01-04,South,Mumbai,Furniture,Chair,Consumer,Credit Card,36983.26,2,0.29,-3786.86
ORD-10108,2023-09-25,2023-09-27,South,Chennai,Furniture,Chair,Home Office,Net Banking,41929.71,1,0.03,1543.91
ORD-10109,2024-07-24,2024-07-27,West,Chennai,Office Supplies,Pen Set,Consumer,UPI,35197.97,9,0.25,-2067.94
ORD-10110,2024-03-30,2024-04-02,South,Delhi,Office Supplies,Printer,Consumer,UPI,4526.76,5,0.07,435.75
ORD-10111,2023-11-29,2023-12-04,North,Ahmedabad,Electronics,Laptop,Home Office,Debit Card,43225.36,6,0.24,-23.79
ORD-10112,2023-08-30,2023-08-31,North,Ahmedabad,Office Supplies,Notebook,Corporate,Credit Card,49307.05,4,0.11,4025.24
ORD-10113,2025-07-04,2025-07-10,West,Pune,Office Supplies,Printer,Home Office,Debit Card,24342.52,6,0.21,-2683.89
ORD-10114,2024-01-03,2024-01-09,South,Pune,Electronics,Smartphone,Consumer,Debit Card,16847.5,3,0.08,859.9
ORD-10115,2024-01-06,2024-01-08,North,Kolkata,Electronics,Tablet,Consumer,UPI,28787.91,4,0.04,964.55
ORD-10116,2025-04-17,2025-04-18,West,Ahmedabad,Electronics,Smartphone,Corporate,Net Banking,32635.91,1,0.2,-3345.14
ORD-10117,2025-03-18,2025-03-20,East,Bangalore,Furniture,Table,Consumer,Credit Card,20311.03,1,0.02,2755.68
ORD-10118,2023-06-24,2023-06-29,North,Ahmedabad,Office Supplies,Notebook,Home Office,Net Banking,22098.62,5,0.01,4970.61
ORD-10119,2023-10-27,2023-11-02,East,Mumbai,Electronics,Tablet,Consumer,Debit Card,45996.23,4,0.17,3397.3
ORD-10120,2023-08-19,2023-08-20,South,Bangalore,Office Supplies,Desk Organizer,Home Office,UPI,26393.34,9,0.07,1026.67
ORD-10121,2025-06-27,2025-07-01,East,Chennai,Office Supplies,Notebook,Consumer,Debit Card,49793.65,6,0.18,2501.21
ORD-10122,2024-08-18,2024-08-21,East,Pune,Office Supplies,Notebook,Corporate,Credit Card,2749.6,8,0.12,-133.76
ORD-10123,2025-05-10,2025-05-12,North,Ahmedabad,Furniture,Chair,Home Office,Debit Card,17115.17,4,0.14,-330.83
ORD-10124,2024-12-28,2025-01-02,East,Kolkata,Office Supplies,Pen Set,Home Office,UPI,29390.98,5,0.29,-1256.7
ORD-10125,2023-05-13,2023-05-14,South,Mumbai,Office Supplies,Pen Set,Home Office,Net Banking,35059.0,1,0.08,1831.53
ORD-10126,2025-11-13,2025-11-15,East,Chennai,Furniture,Chair,Home Office,Credit Card,30337.7,3,0.25,-304.59
ORD-10127,2023-07-17,2023-07-18,North,Delhi,Office Supplies,Desk Organizer,Home Office,UPI,36423.12,9,0.13,3880.73
ORD-10128,2024-09-22,2024-09-25,West,Ahmedabad,Office Supplies,Notebook,Home Office,Credit Card,43370.16,5,0.01,5000.26
ORD-10129,2024-04-13,2024-04-16,North,Mumbai,Electronics,Tablet,Home Office,Credit Card,40622.39,1,0.11,3652.59
ORD-10130,2025-05-03,2025-05-09,West,Delhi,Furniture,Sofa,Corporate,Net Banking,19952.98,1,0.25,-2120.23
ORD-10131,2023-07-13,2023-07-14,North,Pune,Office Supplies,Printer,Consumer,UPI,21033.57,1,0.0,1368.69
ORD-10132,2023-09-10,2023-09-14,West,Chennai,Electronics,Headphones,Corporate,Net Banking,34739.86,5,0.3,-1760.36
ORD-10133,2025-07-16,2025-07-23,North,Delhi,Furniture,Wardrobe,Corporate,Net Banking,27993.87,5,0.22,-520.23
ORD-10134,2025-10-04,2025-10-06,South,Bangalore,Office Supplies,Printer,Consumer,Net Banking,19203.6,5,0.14,-1232.26
ORD-10135,2024-06-23,2024-06-26,South,Bangalore,Office Supplies,Pen Set,Corporate,UPI,47725.53,4,0.07,5456.94
ORD-10136,2024-03-03,2024-03-09,South,Chennai,Electronics,Headphones,Consumer,Debit Card,31097.35,8,0.01,4342.22
ORD-10137,2023-11-10,2023-11-11,North,Ahmedabad,Furniture,Chair,Corporate,Credit Card,24072.43,3,0.16,1454.85
ORD-10138,2023-01-01,2023-01-07,West,Pune,Furniture,Table,Home Office,UPI,27819.39,5,0.03,4961.97
ORD-10139,2023-04-11,2023-04-14,South,Mumbai,Office Supplies,Notebook,Home Office,UPI,29702.82,7,0.23,-1661.52
ORD-10140,2024-11-11,2024-11-18,North,Delhi,Furniture,Table,Corporate,Net Banking,35351.95,3,0.27,-3413.13
ORD-10141,2024-02-07,2024-02-12,South,Mumbai,Office Supplies,Desk Organizer,Corporate,UPI,49032.9,2,0.18,-2527.7
ORD-10142,2024-05-05,2024-05-11,South,Mumbai,Office Supplies,Notebook,Consumer,Net Banking,22155.01,2,0.1,1169.74
ORD-10143,2025-05-30,2025-06-03,South,Ahmedabad,Electronics,Smartphone,Corporate,UPI,39290.82,7,0.16,1160.19
ORD-10144,2023-08-20,2023-08-22,North,Ahmedabad,Electronics,Laptop,Corporate,Net Banking,39925.35,8,0.25,-1845.21
ORD-10145,2025-02-26,2025-03-03,East,Pune,Office Supplies,Notebook,Consumer,UPI,3778.68,5,0.29,-534.59
ORD-10146,2025-05-08,2025-05-13,West,Kolkata,Office Supplies,Notebook,Corporate,Credit Card,16773.2,3,0.16,-301.52
ORD-10147,2023-10-11,2023-10-18,East,Mumbai,Electronics,Smartphone,Corporate,Credit Card,29445.92,6,0.21,-3650.9
ORD-10148,2023-06-09,2023-06-13,West,Kolkata,Electronics,Laptop,Home Office,UPI,34976.82,9,0.27,-4379.37
ORD-10149,2024-04-30,2024-05-05,East,Delhi,Office Supplies,Printer,Corporate,UPI,33544.11,2,0.18,-2858.97
ORD-10150,2024-04-03,2024-04-08,North,Bangalore,Office Supplies,Pen Set,Corporate,Net Banking,41178.64,2,0.08,222.45
ORD-10151,2024-06-30,2024-07-02,South,Kolkata,Furniture,Wardrobe,Corporate,Credit Card,4890.78,1,0.16,-189.77
ORD-10152,2024-07-11,2024-07-17,East,Kolkata,Office Supplies,Notebook,Home Office,Net Banking,44763.75,1,0.15,1704.56
ORD-10153,2024-06-30,2024-07-05,South,Bangalore,Electronics,Tablet,Corporate,Net Banking,2445.95,9,0.14,116.32
ORD-10154,2025-04-28,2025-05-04,West,Delhi,Furniture,Chair,Consumer,Debit Card,25827.02,1,0.08,3389.54
ORD-10155,2023-02-12,2023-02-16,North,Ahmedabad,Office Supplies,Notebook,Corporate,UPI,37538.85,4,0.06,2406.03
ORD-10156,2023-05-12,2023-05-19,North,Ahmedabad,Electronics,Headphones,Home Office,UPI,24483.89,7,0.16,834.98
ORD-10157,2025-02-04,2025-02-07,East,Kolkata,Office Supplies,Printer,Corporate,UPI,3585.9,8,0.04,528.68
ORD-10158,2024-01-06,2024-01-12,West,Pune,Office Supplies,Pen Set,Consumer,UPI,42299.81,2,0.13,1121.94
ORD-10159,2025-05-22,2025-05-24,East,Kolkata,Office Supplies,Pen Set,Consumer,Debit Card,12502.29,9,0.22,-1669.6
ORD-10160,2023-03-16,2023-03-18,East,Ahmedabad,Furniture,Chair,Consumer,Credit Card,28416.27,1,0.06,1577.09
ORD-10161,2025-01-14,2025-01-19,West,Pune,Office Supplies,Printer,Corporate,Net Banking,6428.23,1,0.1,287.95
ORD-10162,2023-09-13,2023-09-17,South,Ahmedabad,Office Supplies,Printer,Corporate,Debit Card,18077.66,9,0.15,-1493.5
ORD-10163,2024-12-17,2024-12-20,South,Bangalore,Office Supplies,Pen Set,Corporate,UPI,27086.77,2,0.17,-72.94
ORD-10164,2025-05-25,2025-05-30,North,Delhi,Office Supplies,Printer,Consumer,Credit Card,28440.7,9,0.1,3695.29
ORD-10165,2023-05-27,2023-05-29,South,Pune,Electronics,Tablet,Corporate,Debit Card,30573.98,8,0.15,-1037.38
ORD-10166,2025-02-24,2025-03-03,North,Bangalore,Furniture,Table,Corporate,Debit Card,46717.75,5,0.03,2362.6
ORD-10167,2024-03-04,2024-03-05,West,Delhi,Electronics,Headphones,Corporate,Net Banking,12674.91,4,0.26,-2438.94
ORD-10168,2023-03-25,2023-03-31,North,Ahmedabad,Office Supplies,Notebook,Home Office,Net Banking,40390.31,8,0.27,-8237.74
ORD-10169,2025-09-15,2025-09-21,West,Bangalore,Electronics,Headphones,Consumer,Credit Card,26463.31,8,0.21,1044.01
ORD-10170,2024-04-18,2024-04-24,South,Kolkata,Electronics,Tablet,Corporate,UPI,44882.21,4,0.29,-3002.56
ORD-10171,2023-07-06,2023-07-09,South,Chennai,Furniture,Table,Home Office,Credit Card,40945.07,1,0.15,1825.3
ORD-10172,2024-06-01,2024-06-08,South,Chennai,Office Supplies,Notebook,Consumer,Net Banking,41132.64,2,0.17,-233.53
ORD-10173,2025-05-01,2025-05-04,North,Kolkata,Furniture,Wardrobe,Corporate,Net Banking,14358.97,5,0.06,785.95
ORD-10174,2023-07-26,2023-07-27,West,Chennai,Office Supplies,Pen Set,Home Office,UPI,21559.1,1,0.22,-1380.47
ORD-10175,2024-08-11,2024-08-18,North,Kolkata,Office Supplies,Desk Organizer,Consumer,Credit Card,35507.89,6,0.17,-3164.73
ORD-10176,2024-11-15,2024-11-17,North,Chennai,Electronics,Headphones,Home Office,Debit Card,24316.44,3,0.02,2366.5
ORD-10177,2024-05-31,2024-06-02,East,Ahmedabad,Furniture,Wardrobe,Corporate,Credit Card,7153.53,7,0.16,-498.27
ORD-10178,2023-09-19,2023-09-21,North,Hyderabad,Furniture,Sofa,Consumer,Net Banking,34386.29,4,0.08,3655.28
ORD-10179,2023-05-29,2023-05-30,North,Pune,Furniture,Table,Corporate,Debit Card,38131.28,8,0.18,1100.39
ORD-10180,2025-09-01,2025-09-06,West,Delhi,Electronics,Headphones,Corporate,Debit Card,5781.61,5,0.25,-40.44
ORD-10181,2025-09-14,2025-09-17,North,Delhi,Electronics,Headphones,Consumer,UPI,6652.71,8,0.3,-1390.41
ORD-10182,2025-09-03,2025-09-06,West,Hyderabad,Electronics,Tablet,Corporate,Credit Card,19271.81,1,0.22,-1061.98
ORD-10183,2023-07-09,2023-07-12,South,Hyderabad,Office Supplies,Pen Set,Corporate,Debit Card,42170.52,8,0.25,-2104.29
ORD-10184,2025-02-09,2025-02-10,South,Hyderabad,Electronics,Laptop,Home Office,UPI,40077.09,3,0.05,6529.16
ORD-10185,2023-01-29,2023-01-30,East,Kolkata,Office Supplies,Desk Organizer,Home Office,Net Banking,33427.26,4,0.09,2596.01
ORD-10186,2025-04-12,2025-04-17,North,Bangalore,Electronics,Tablet,Home Office,Net Banking,34307.61,8,0.13,-158.2
ORD-10187,2025-12-07,2025-12-14,East,Chennai,Electronics,Tablet,Corporate,Credit Card,23402.65,6,0.16,-520.73
ORD-10188,2025-11-19,2025-11-24,East,Bangalore,Office Supplies,Desk Organizer,Consumer,UPI,29085.57,1,0.27,-4165.69
ORD-10189,2025-10-09,2025-10-13,West,Pune,Electronics,Laptop,Consumer,UPI,27405.87,8,0.07,2427.33
ORD-10190,2024-12-10,2024-12-17,East,Mumbai,Office Supplies,Desk Organizer,Home Office,Credit Card,21860.64,3,0.19,-1596.24
ORD-10191,2024-05-23,2024-05-25,South,Hyderabad,Furniture,Chair,Consumer,UPI,7393.97,1,0.16,508.55
ORD-10192,2025-02-07,2025-02-14,East,Bangalore,Office Supplies,Pen Set,Corporate,Debit Card,39535.56,6,0.23,-1526.23
ORD-10193,2024-07-02,2024-07-03,West,Hyderabad,Furniture,Sofa,Corporate,UPI,39039.31,1,0.01,6011.19
ORD-10194,2025-10-08,2025-10-13,East,Kolkata,Office Supplies,Printer,Home Office,Debit Card,38241.7,1,0.03,4868.03
ORD-10195,2023-03-06,2023-03-11,West,Pune,Furniture,Wardrobe,Home Office,Credit Card,19251.67,8,0.18,-568.74
ORD-10196,2024-03-18,2024-03-22,North,Hyderabad,Furniture,Sofa,Home Office,Debit Card,27223.1,4,0.22,-707.6
ORD-10197,2023-09-29,2023-10-06,East,Chennai,Furniture,Table,Home Office,Credit Card,32236.81,3,0.17,749.05
ORD-10198,2023-07-20,2023-07-21,East,Mumbai,Office Supplies,Pen Set,Consumer,UPI,30151.95,4,0.05,5478.31
ORD-10199,2025-04-05,2025-04-06,West,Pune,Furniture,Table,Home Office,Net Banking,29377.89,8,0.13,-658.48
ORD-10200,2025-06-09,2025-06-16,West,Kolkata,Furniture,Wardrobe,Consumer,Net Banking,30940.04,8,0.15,689.68
ORD-10201,2025-10-02,2025-10-04,West,Kolkata,Office Supplies,Printer,Consumer,Net Banking,1396.45,4,0.28,-100.52
ORD-10202,2023-06-19,2023-06-23,South,Pune,Furniture,Chair,Corporate,Net Banking,1639.62,1,0.17,2.2
ORD-10203,2024-03-25,2024-03-26,North,Kolkata,Electronics,Laptop,Home Office,Credit Card,21494.47,8,0.25,-383.95
ORD-10204,2024-06-20,2024-06-26,East,Hyderabad,Office Supplies,Printer,Corporate,Credit Card,6579.13,5,0.3,-540.94
ORD-10205,2024-06-30,2024-07-07,South,Mumbai,Office Supplies,Pen Set,Consumer,Debit Card,6670.8,9,0.1,81.98
ORD-10206,2025-01-19,2025-01-20,South,Kolkata,Furniture,Table,Consumer,Net Banking,11756.08,5,0.11,1044.53
ORD-10207,2025-02-26,2025-03-01,South,Kolkata,Electronics,Tablet,Consumer,Net Banking,10676.2,9,0.0,1245.91
